model,quant,mode,problem_id,run_id,duration_s,tokens,success,tool_calls,context_len,inter_token_avg_ms,inter_token_p95_ms,ttft_ms,energy_joules,energy_per_token_j,tps
gemma-3n-e2b-it,F16,full_tool,38,2,7.48965,197,False,3,3390,29.608515777973214,48.69600534439084,0.010013580322265625,90.0985617685318,0.45504324125521106,26.30296475803275
gemma-3n-e2b-it,F16,full_tool,36,1,5.596723,119,False,3,3073,32.121241092681885,91.62027835845947,0.014066696166992188,77.38976171970367,0.6449146809975306,21.26244232562519
gemma-3n-e2b-it,F16,full_tool,37,4,6.035342,89,False,3,4873,43.40294467078315,76.45789384841905,0.008821487426757812,53.42210106325149,0.5935789007027943,14.74647169953252
gemma-3n-e2b-it,F16,full_tool,36,0,5.571556,119,False,3,3073,31.48518403371175,92.17358827590942,0.012159347534179688,69.20024793338774,0.5766687327782312,21.35848585206718
gemma-3n-e2b-it,F16,full_tool,38,3,9.641951,197,False,3,3390,39.778545649364744,92.26326942443846,0.008106231689453125,146.90925500631332,0.7419659343753198,20.431549589911832
gemma-3n-e2b-it,F16,full_tool,35,3,5.568739,91,False,3,3162,41.95082705953847,69.31312084198011,0.010013580322265625,21.383169322967532,0.23242575351051667,16.341221953479952
gemma-3n-e2b-it,F16,full_tool,35,0,5.513039,91,False,3,3162,37.7931957659514,49.75481033325196,0.008106231689453125,26.146218235731123,0.28419802430142527,16.50632255639766
gemma-3n-e2b-it,F16,full_tool,36,3,5.452478,119,False,3,3073,32.22038149833679,27.71499156951904,0.010013580322265625,41.12805392789841,0.3427337827324867,21.824939046063093
gemma-3n-e2b-it,F16,full_tool,38,0,9.548676,197,False,3,3390,39.08885849846734,99.61762428283686,0.010013580322265625,129.07920998573303,0.6519152019481466,20.631132525598314
gemma-3n-e2b-it,F16,full_tool,38,1,7.573683,197,False,3,3390,29.593364156857884,99.10736083984372,0.010013580322265625,52.59142635941505,0.26561326444149014,26.011122989964065
gemma-3n-e2b-it,F16,full_tool,39,4,11.715866,270,False,3,4026,36.355339732997095,94.67470645904541,0.010013580322265625,160.56099862384795,0.5924760096820958,23.045671570501064
gemma-3n-e2b-it,F16,full_tool,36,2,5.549893,129,False,3,3369,29.71226985637958,95.61673402786253,0.010251998901367188,33.5074069635868,0.2577492843352831,23.24369136486055
gemma-3n-e2b-it,F16,full_tool,35,1,5.575061,91,False,3,3162,41.807794052621595,96.26467227935791,0.010251998901367188,40.48432207322121,0.4400469790567523,16.322691357099053
gemma-3n-e2b-it,F16,full_tool,37,0,5.516568,89,False,3,4873,41.17379983266195,95.84053754806517,0.007867813110351562,44.16311205911637,0.49070124510129304,16.133219059386196
gemma-3n-e2b-it,F16,full_tool,39,3,9.540086,269,False,3,4155,29.160922544973868,93.03874969482415,0.009059906005859375,145.43731262779235,0.538656713436268,28.196810804430903
gemma-3n-e2b-it,F16,full_tool,39,2,11.600124,270,False,3,4026,36.44281911674021,95.88944911956787,0.009059906005859375,156.87690898394587,0.5788815829665899,23.275613260685837
gemma-3n-e2b-it,F16,full_tool,36,4,5.567028,119,False,3,3073,32.08944797515869,93.66713762283324,0.010013580322265625,76.55953510713577,0.6379961258927981,21.3758579981994
gemma-3n-e2b-it,F16,full_tool,37,1,5.601568,89,False,3,4873,42.82422065734863,72.99107313156117,0.008821487426757812,24.732346678972245,0.2748038519885805,15.88840838850836
gemma-3n-e2b-it,Q4_K_M,tool_submission,12,0,62.492684,43,True,1,554,1344.016893343492,2435.292518138886,0.012159347534179688,753.4996612752628,17.12499230171052,0.6880805439561534
gemma-3n-e2b-it,Q4_K_M,tool_submission,13,2,163.307716,113,False,1,999,1405.6902705577381,3174.8391032218915,0.009059906005859375,2229.45945631136,19.55666189746807,0.6919452599533019
gemma-3n-e2b-it,Q4_K_M,tool_submission,13,3,228.112311,163,True,1,999,1370.9857085855995,2935.2373361587524,0.009059906005859375,5376.052085364102,32.7808053985616,0.7145602939422239
gemma-3n-e2b-it,Q4_K_M,tool_submission,10,0,144.769251,107,True,1,497,1316.9529614625153,2708.4686875343314,0.010967254638671875,2522.3379982953156,23.354981465697367,0.7391072293383628
gemma-3n-e2b-it,Q4_K_M,tool_submission,13,0,315.907282,237,False,1,999,1312.1623912779223,2391.4693474769565,0.011205673217773438,6230.365507826643,26.178006335406064,0.7502201231309381
gemma-3n-e2b-it,Q4_K_M,tool_submission,13,1,130.667951,100,False,1,999,1261.5945055933282,2526.309013366699,0.010013580322265625,2605.3315653889385,25.795362033553847,0.7652986002665643
gemma-3n-e2b-it,Q4_K_M,tool_submission,11,0,279.28714,192,True,1,410,1430.4817624660354,2840.515995025633,0.014066696166992188,3828.2020070879203,19.835243560041036,0.6874645212808581
gemma-3n-e2b-it,Q4_K_M,tool_submission,14,0,144.078967,110,True,1,358,1275.7347467783336,2496.452808380127,0.010013580322265625,3091.8261304332273,27.85428946336241,0.7634702156075286
gemma-3n-e2b-it,F16,tool_submission,39,1,8.809092,219,False,1,474,36.04823134162209,100.36967992782593,0.008821487426757812,125.68141249871253,0.5712791477214206,24.860678035829345
gemma-3n-e2b-it,F16,tool_submission,35,4,4.765127,83,False,1,340,45.97611938204084,86.32854223251319,0.009059906005859375,49.08402271842956,0.5843336037908281,17.418213617391523
gemma-3n-e2b-it,F16,tool_submission,39,0,10.776581,287,False,0,474,33.82884424862977,92.73729324340815,0.007867813110351562,162.35020951008795,0.5617654308307541,26.631823209977263
gemma-3n-e2b-it,F16,tool_submission,35,2,4.788517,87,False,1,340,43.74191164970398,99.05140399932853,0.008344650268554688,48.1571090555191,0.5472398756308988,18.16846426565887
gemma-3n-e2b-it,F16,tool_submission,36,1,6.76969,164,False,1,389,35.5473518371582,80.8465003967279,0.010013580322265625,44.555426732063296,0.2700328892852321,24.225629238561886
gemma-3n-e2b-it,F16,tool_submission,36,0,6.788599,140,False,1,389,40.911270371565585,49.65996742248535,0.009059906005859375,87.11721823549271,0.6178526115992391,20.62281186442151
gemma-3n-e2b-it,F16,tool_submission,35,3,4.750452,87,False,1,340,43.886759064414285,48.53972196578979,0.010967254638671875,21.409726580142973,0.24329234750162468,18.3140467475516
gemma-3n-e2b-it,F16,tool_submission,35,0,4.828108,83,False,1,340,45.31819479806082,48.3514666557312,0.010013580322265625,30.822714608907702,0.36693707867747266,17.190999041446464
gemma-3n-e2b-it,F16,tool_submission,36,3,6.748301,167,False,1,389,34.88834698994955,49.752354621887214,0.010013580322265625,61.962836420059205,0.3688264072622572,24.746969644655746
gemma-3n-e2b-it,F16,tool_submission,38,0,6.743708,187,True,1,407,30.66500450702424,48.579561710357666,0.010013580322265625,47.60209002399445,0.2532026065106088,27.729551754020193
gemma-3n-e2b-it,F16,tool_submission,39,4,10.825545,278,False,0,474,35.38984996931894,50.61105489730835,0.009059906005859375,116.6223818101883,0.41650850646495824,25.680000406446048
gemma-3n-e2b-it,F16,tool_submission,36,2,6.818008,161,False,1,389,36.152074366440004,90.32495021820067,0.010967254638671875,83.8700803961754,0.5177165456554037,23.613935331258045
gemma-3n-e2b-it,F16,tool_submission,35,1,4.725093,83,False,1,340,45.25528351465861,87.63951063156104,0.008821487426757812,52.11735649418831,0.6204447201689084,17.56579182674288
gemma-3n-e2b-it,F16,tool_submission,37,0,6.794352,141,True,1,727,40.06569654169217,93.0496573448181,0.010013580322265625,82.91790632081032,0.5839289177521854,20.75253092568651
gemma-3n-e2b-it,F16,tool_submission,39,3,8.826968,233,False,1,474,33.66322700793926,100.49121379852295,0.010013580322265625,128.44017417478562,0.5488896332255796,26.39637982147437
gemma-3n-e2b-it,F16,tool_submission,39,2,8.77075,230,False,0,474,33.908563441243665,94.59177255630492,0.008821487426757812,57.917642429590224,0.24964501047237164,26.22352706439016
gemma-3n-e2b-it,F16,tool_submission,36,4,6.770929,165,False,1,389,35.34414538417954,80.19661903381348,0.009059906005859375,85.33966517686844,0.5140943685353521,24.36888645561045
